anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
29,32,34.17142857,1,"[31, 32, 33, 34, 33, 31, 31, 31, 33, 35, 36, 37, 37, 32, 34, 32, 41, 40, 34, 31, 36, 38, 34, 33, 32, 34, 31, 39, 36, 32, 35, 34, 35, 34, 35]",35,1,2.640028011
30,33,35.08823529,1,"[34, 35, 36, 37, 37, 35, 34, 32, 33, 39, 38, 38, 36, 39, 34, 33, 37, 33, 34, 36, 33, 40, 37, 32, 33, 38, 36, 32, 34, 32, 37, 35, 32, 32]",34,2,2.378790717
34,36,37.82352941,1,"[36, 38, 38, 36, 39, 38, 38, 36, 38, 38, 39, 38, 39, 38, 36, 39, 39, 36, 40, 39, 38, 39, 37, 36, 36, 36, 37, 40, 41, 36, 37, 38, 38, 39]",34,3,1.381053358
31,34,35.85294118,1,"[35, 35, 35, 34, 40, 38, 37, 37, 35, 33, 35, 37, 36, 35, 35, 38, 38, 40, 34, 33, 41, 34, 37, 33, 35, 33, 33, 38, 38, 35, 33, 36, 36, 37]",34,4,2.176073096
31,34,35.0625,1,"[34, 37, 34, 36, 34, 34, 36, 38, 37, 34, 33, 35, 34, 37, 36, 34, 34, 38, 33, 36, 37, 35, 35, 38, 33, 33, 33, 33, 33, 37, 35, 36]",32,5,1.683650029
33,37,37.45714286,1,"[35, 38, 37, 37, 37, 38, 38, 38, 35, 38, 37, 39, 38, 38, 37, 36, 36, 36, 35, 37, 41, 37, 35, 38, 38, 38, 37, 38, 42, 36, 38, 40, 37, 38, 38]",35,6,1.540489936
33,36,37.69444444,0,"[42, 37, 35, 37, 37, 39, 37, 36, 37, 36, 39, 41, 39, 36, 39, 43, 38, 39, 35, 37, 37, 37, 42, 38, 38, 35, 38, 38, 37, 39, 36, 37, 38, 36, 36, 36]",36,7,1.954035304
33,36,37.22857143,1,"[35, 38, 38, 38, 38, 37, 39, 38, 37, 38, 36, 41, 39, 38, 37, 36, 37, 35, 36, 35, 36, 38, 37, 35, 35, 37, 38, 36, 36, 40, 39, 37, 38, 37, 38]",35,8,1.456945118
33,35,36.54285714,1,"[38, 37, 35, 37, 38, 34, 38, 40, 36, 37, 37, 35, 34, 40, 40, 35, 37, 36, 39, 34, 37, 37, 38, 35, 35, 36, 34, 34, 37, 38, 37, 37, 37, 36, 34]",35,9,1.77138791
29,32,33.54285714,1,"[35, 31, 31, 34, 31, 33, 32, 32, 35, 35, 33, 35, 37, 37, 36, 34, 33, 35, 35, 35, 33, 31, 31, 32, 34, 34, 33, 32, 34, 35, 34, 32, 31, 35, 34]",35,10,1.737863075
32,37,37.6,1,"[40, 40, 36, 37, 38, 38, 39, 37, 40, 37, 36, 40, 36, 38, 35, 39, 37, 40, 41, 40, 39, 34, 34, 38, 38, 37, 40, 37, 38, 38, 34, 34, 36, 38, 37]",35,11,1.958390696
