anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
23,29,30.54285714,1,"[25, 31, 28, 31, 30, 32, 36, 30, 27, 33, 25, 31, 36, 36, 29, 34, 31, 25, 29, 29, 36, 32, 28, 29, 31, 25, 31, 29, 30, 35, 31, 27, 34, 30, 33]",35,1,3.229850271
26,30,31.79411765,1,"[30, 31, 36, 35, 31, 31, 30, 30, 35, 33, 31, 32, 37, 34, 28, 33, 28, 31, 31, 32, 37, 30, 29, 33, 34, 31, 28, 30, 32, 29, 36, 31, 31, 31]",34,2,2.495807536
29,34,35.02857143,1,"[35, 34, 34, 31, 37, 40, 35, 31, 35, 39, 31, 35, 35, 33, 34, 36, 33, 39, 34, 37, 36, 36, 35, 36, 35, 34, 35, 37, 38, 35, 36, 36, 32, 34, 33]",35,3,2.162320571
25,31,32.17647059,1,"[32, 31, 31, 34, 31, 38, 32, 26, 30, 34, 32, 33, 34, 32, 34, 31, 30, 26, 32, 39, 36, 33, 40, 31, 31, 30, 30, 26, 32, 34, 36, 28, 34, 31]",34,4,3.270349701
26,31,31.67741935,1,"[31, 32, 31, 33, 29, 33, 36, 32, 33, 31, 29, 31, 33, 28, 31, 31, 31, 31, 32, 31, 28, 33, 28, 34, 32, 30, 38, 36, 29, 32, 33]",31,5,2.329336054
28,33,34.39393939,1,"[34, 36, 33, 37, 34, 34, 31, 35, 35, 38, 36, 30, 35, 34, 34, 33, 36, 33, 34, 33, 34, 37, 33, 36, 38, 41, 30, 36, 34, 33, 33, 33, 32]",33,6,2.304064262
28,33,34.11111111,1,"[30, 37, 31, 33, 33, 35, 32, 33, 33, 37, 33, 38, 34, 30, 33, 34, 33, 34, 36, 33, 34, 36, 33, 41, 33, 38, 34, 31, 32, 36, 32, 40, 31, 34, 32, 39]",36,7,2.712697948
29,33,34.86111111,1,"[33, 32, 39, 36, 34, 35, 38, 35, 36, 34, 33, 36, 37, 38, 31, 34, 38, 36, 35, 37, 32, 31, 31, 37, 31, 34, 32, 36, 37, 37, 35, 33, 34, 36, 35, 37]",36,8,2.269710841
29,33,33.65714286,1,"[34, 37, 36, 32, 36, 30, 34, 31, 35, 38, 38, 34, 31, 33, 34, 32, 33, 36, 31, 34, 30, 33, 31, 34, 37, 33, 33, 33, 31, 34, 34, 36, 33, 34, 33]",35,9,2.141231877
20,29,30.55555556,1,"[31, 33, 31, 34, 28, 36, 33, 26, 36, 28, 32, 29, 31, 32, 30, 28, 32, 32, 26, 29, 29, 25, 31, 34, 33, 32, 30, 27, 30, 33, 34, 29, 29, 29, 29, 29]",36,10,2.698618106
26,32,34.15625,1,"[40, 35, 36, 31, 36, 35, 35, 32, 31, 32, 36, 32, 34, 34, 34, 42, 31, 36, 33, 33, 37, 28, 34, 28, 30, 36, 33, 34, 32, 36, 35, 42]",32,11,3.283481384
32,36,37.18181818,1,"[36, 38, 36, 40, 40, 35, 34, 38, 41, 36, 37, 39, 37, 34, 38, 38, 37, 34, 35, 39, 37, 40, 39, 38, 36, 35, 36, 36, 38, 38, 37, 37, 38]",33,12,1.827815388
26,31,33.09375,1,"[31, 31, 36, 32, 33, 40, 32, 28, 36, 34, 36, 31, 31, 31, 38, 33, 28, 32, 35, 35, 31, 38, 31, 36, 32, 37, 31, 37, 30, 33, 28, 32]",32,13,3.093795821
25,33,33.90625,1,"[35, 34, 31, 35, 39, 33, 31, 31, 35, 36, 34, 37, 35, 38, 36, 35, 30, 34, 35, 31, 36, 29, 37, 33, 35, 33, 33, 31, 33, 37, 33, 30]",32,14,2.506242207
28,33,35.19354839,1,"[36, 36, 33, 39, 40, 40, 37, 36, 33, 33, 30, 32, 34, 32, 33, 33, 39, 39, 37, 36, 30, 39, 33, 37, 35, 36, 35, 36, 32, 33, 37]",31,15,2.833364959
31,36,37.6,1,"[33, 37, 36, 37, 38, 42, 42, 36, 38, 40, 36, 39, 42, 39, 40, 41, 37, 34, 33, 33, 38, 36, 33, 39, 38, 38, 39, 35, 39, 40, 40, 35, 40, 35, 38]",35,16,2.647973698
28,33,34.52941176,1,"[33, 33, 40, 39, 33, 37, 30, 33, 36, 30, 33, 33, 38, 38, 33, 33, 30, 37, 36, 32, 38, 35, 35, 37, 31, 38, 30, 34, 34, 32, 42, 33, 33, 35]",34,17,3.057383454
28,34,35.34285714,1,"[35, 34, 36, 35, 35, 37, 32, 30, 33, 40, 35, 34, 34, 35, 37, 36, 33, 37, 32, 38, 38, 34, 38, 36, 36, 30, 39, 39, 36, 36, 36, 38, 33, 37, 33]",35,18,2.424663192
27,31,33.39393939,1,"[31, 38, 33, 33, 35, 38, 32, 29, 31, 34, 34, 33, 32, 32, 38, 31, 32, 29, 36, 35, 39, 35, 35, 29, 35, 30, 33, 31, 35, 32, 35, 36, 31]",33,19,2.714997628
30,35,37.25806452,1,"[38, 36, 36, 37, 33, 41, 41, 42, 35, 39, 36, 33, 42, 34, 34, 32, 40, 35, 34, 36, 37, 39, 32, 37, 43, 35, 46, 40, 38, 33, 41]",31,20,3.568078306
28,35,37,1,"[35, 35, 35, 36, 40, 35, 30, 42, 34, 39, 33, 39, 42, 37, 37, 32, 40, 35, 38, 37, 37, 37, 36, 39, 39, 37, 42, 40, 39, 37, 34, 36]",32,21,2.862437491
14,25,28.75,1,"[22, 28, 31, 31, 26, 34, 22, 24, 29, 38, 23, 32, 27, 30, 29, 32, 29, 34, 25, 31, 16, 29, 31, 39, 17, 28, 28, 24, 27, 35, 22, 35, 29, 33, 25, 40]",36,22,5.53108101
22,28,29.2,1,"[30, 31, 33, 32, 26, 26, 31, 28, 30, 30, 30, 31, 29, 28, 28, 28, 28, 29, 31, 30, 24, 30, 26, 28, 27, 27, 31, 32, 29, 31, 27, 30, 32, 30, 29]",35,23,2.055122724
22,30,32.94285714,1,"[32, 36, 37, 29, 39, 33, 30, 31, 33, 32, 39, 30, 27, 34, 35, 30, 31, 35, 37, 31, 38, 30, 32, 31, 37, 30, 34, 32, 30, 32, 34, 40, 33, 30, 29]",35,24,3.280448832
20,30,32.13888889,1,"[31, 33, 38, 39, 29, 36, 33, 28, 35, 29, 39, 32, 35, 36, 31, 31, 32, 35, 25, 30, 34, 27, 31, 29, 31, 37, 29, 28, 30, 31, 35, 33, 32, 25, 35, 33]",36,25,3.578928633
30,35,36.0625,1,"[40, 36, 36, 37, 35, 37, 36, 35, 35, 34, 36, 37, 38, 40, 37, 37, 38, 35, 36, 33, 34, 32, 34, 35, 35, 38, 35, 37, 35, 37, 35, 39]",32,26,1.848059139
27,32,33.03125,1,"[35, 38, 31, 33, 36, 32, 31, 32, 35, 33, 29, 33, 29, 36, 34, 32, 29, 32, 33, 33, 34, 31, 35, 32, 34, 30, 35, 33, 37, 34, 32, 34]",32,27,2.235842556
