anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
26,31,32.6875,1,"[30, 34, 30, 31, 34, 34, 31, 34, 31, 33, 33, 33, 31, 34, 28, 28, 33, 33, 34, 36, 35, 31, 34, 38, 34, 29, 32, 34, 33, 31, 32, 38]",32,1,2.402116003
32,35,36.53125,1,"[37, 35, 37, 37, 34, 37, 40, 38, 37, 37, 37, 38, 34, 36, 37, 35, 37, 35, 37, 38, 36, 37, 35, 39, 34, 38, 37, 38, 35, 37, 34, 36]",32,2,1.502350309
33,35,36.88571429,1,"[41, 35, 35, 37, 35, 38, 36, 35, 38, 35, 38, 35, 35, 38, 38, 35, 35, 35, 39, 40, 37, 36, 36, 38, 42, 36, 35, 39, 37, 39, 39, 35, 35, 39, 35]",35,3,1.996635826
31,33,35.6,1,"[37, 33, 33, 37, 36, 38, 37, 33, 40, 33, 42, 34, 33, 37, 36, 36, 38, 39, 38, 33, 33, 39, 36, 40, 35, 33, 33, 33, 34, 33, 34, 37, 33, 35, 35]",35,4,2.546046532
34,36,37.24242424,1,"[37, 37, 39, 37, 36, 39, 36, 39, 37, 38, 38, 38, 38, 39, 38, 38, 36, 36, 37, 39, 36, 37, 37, 36, 37, 37, 37, 38, 36, 36, 37, 36, 37]",33,5,1.031694693
35,38,39.32352941,1,"[38, 40, 38, 42, 39, 41, 43, 38, 38, 38, 38, 38, 38, 40, 41, 39, 43, 38, 41, 39, 42, 38, 43, 40, 39, 38, 37, 37, 38, 39, 38, 38, 41, 39]",34,6,1.770474825
35,37,38.17142857,1,"[41, 39, 39, 38, 38, 38, 37, 37, 38, 39, 38, 38, 40, 38, 37, 37, 40, 37, 37, 40, 40, 38, 37, 39, 37, 37, 37, 37, 40, 37, 40, 38, 38, 38, 37]",35,7,1.200140048
31,34,35.96875,1,"[37, 42, 34, 34, 36, 37, 35, 33, 36, 40, 37, 36, 37, 36, 36, 38, 33, 33, 33, 36, 33, 36, 34, 41, 37, 37, 35, 34, 39, 33, 37, 36]",32,8,2.334653045
32,36,36.91666667,1,"[35, 37, 40, 38, 36, 37, 37, 34, 37, 35, 38, 37, 39, 37, 38, 40, 35, 38, 38, 39, 38, 35, 37, 36, 37, 34, 39, 37, 35, 38, 34, 38, 35, 38, 37, 36]",36,9,1.62788206
29,33,34.37142857,1,"[34, 35, 31, 35, 32, 35, 35, 33, 39, 33, 37, 32, 33, 35, 37, 34, 31, 34, 32, 35, 35, 35, 35, 32, 35, 35, 36, 37, 32, 32, 37, 35, 34, 35, 36]",35,10,1.895594184
37,40,40.8,1,"[40, 44, 42, 39, 42, 42, 42, 41, 41, 40, 42, 41, 40, 42, 41, 39, 40, 40, 41, 39, 43, 40, 42, 42, 39, 42, 39, 43, 40, 39, 39, 42, 39, 39, 42]",35,11,1.430754634
33,37,38.02857143,1,"[38, 39, 37, 37, 40, 39, 38, 35, 40, 37, 38, 35, 38, 41, 37, 38, 38, 36, 37, 39, 36, 37, 38, 39, 38, 39, 41, 36, 41, 38, 37, 39, 36, 41, 38]",35,12,1.635735386
33,36,37.85714286,1,"[38, 38, 37, 35, 41, 37, 38, 41, 40, 38, 42, 35, 38, 35, 35, 42, 38, 35, 38, 39, 40, 39, 38, 39, 38, 41, 38, 38, 41, 35, 36, 36, 35, 35, 36]",35,13,2.198165775
37,39,40.11428571,1,"[39, 39, 39, 43, 42, 39, 42, 41, 40, 42, 39, 41, 39, 39, 42, 41, 39, 39, 40, 40, 41, 40, 41, 39, 39, 42, 41, 39, 40, 39, 39, 41, 39, 39, 40]",35,14,1.231245868
34,37,38.54545455,1,"[40, 37, 43, 37, 42, 39, 39, 39, 38, 38, 39, 39, 39, 40, 39, 39, 37, 40, 36, 38, 37, 37, 37, 39, 36, 36, 37, 40, 36, 39, 42, 39, 39]",33,15,1.751622624
36,39,40.71875,1,"[38, 39, 38, 39, 39, 42, 39, 43, 42, 41, 41, 42, 40, 42, 38, 41, 41, 38, 41, 43, 41, 43, 42, 46, 40, 40, 41, 40, 43, 38, 40, 42]",32,16,1.887725633
32,35,36.09375,1,"[35, 39, 38, 36, 34, 35, 38, 36, 39, 37, 37, 37, 34, 36, 36, 35, 34, 35, 35, 37, 35, 34, 36, 39, 34, 37, 37, 37, 35, 34, 36, 38]",32,17,1.573149194
33,35,37.11428571,1,"[39, 36, 36, 35, 35, 38, 36, 38, 41, 35, 42, 38, 35, 37, 37, 36, 39, 42, 37, 39, 35, 35, 35, 38, 40, 36, 35, 39, 35, 39, 36, 35, 39, 36, 35]",35,18,2.125080325
33,35,37.55882353,1,"[38, 35, 37, 38, 38, 38, 35, 35, 38, 35, 40, 38, 38, 39, 37, 38, 42, 40, 41, 36, 38, 37, 36, 42, 38, 38, 35, 35, 35, 35, 42, 35, 38, 37]",34,19,2.148871113
