anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
0,26,30.20689655,1,"[25, 26, 36, 23, 36, 26, 31, 32, 35, 23, 25, 34, 30, 35, 32, 31, 32, 33, 35, 26, 35, 26, 33, 33, 25, 24, 36, 26, 32]",29,1,4.459174414
0,30,31.74193548,1,"[31, 32, 31, 39, 28, 37, 22, 30, 18, 30, 34, 34, 38, 33, 30, 38, 35, 39, 36, 33, 35, 30, 32, 28, 31, 25, 39, 31, 31, 26, 28]",31,2,4.952896405
0,30,32.85294118,0,"[29, 30, 27, 31, 35, 31, 26, 39, 34, 28, 35, 40, 37, 34, 28, 37, 18, 41, 36, 37, 36, 36, 20, 33, 38, 32, 37, 34, 31, 36, 30, 34, 31, 36]",34,3,5.147122485
0,25,28.19354839,1,"[18, 34, 30, 36, 31, 19, 24, 29, 30, 29, 31, 29, 32, 34, 30, 24, 27, 33, 23, 20, 25, 27, 29, 32, 24, 28, 32, 19, 26, 30, 39]",31,4,5.101760185
0,28,29.32,1,"[22, 34, 31, 28, 29, 28, 26, 29, 37, 21, 31, 32, 35, 24, 29, 34, 29, 30, 30, 25, 34, 31, 24, 29, 31]",25,5,4.028233691
0,28,31.4375,1,"[33, 30, 32, 35, 19, 33, 35, 31, 42, 32, 39, 31, 34, 36, 38, 28, 45, 30, 32, 34, 28, 20, 32, 28, 31, 31, 25, 20, 24, 28, 33, 37]",32,6,5.847180186
0,26,29.32352941,1,"[27, 34, 26, 30, 37, 28, 25, 33, 36, 33, 27, 32, 30, 31, 24, 30, 21, 23, 32, 25, 23, 33, 35, 21, 28, 33, 36, 31, 30, 17, 30, 38, 26, 32]",34,7,5.025514225
0,27,29.42424242,1,"[26, 23, 29, 27, 37, 32, 29, 29, 29, 31, 27, 28, 27, 32, 23, 32, 31, 30, 27, 23, 28, 25, 26, 36, 34, 34, 23, 32, 32, 32, 28, 37, 32]",33,8,3.913360952
0,28,30.75,0,"[27, 35, 25, 30, 35, 31, 33, 28, 35, 33, 16, 25, 35, 33, 37, 28, 36, 31, 23, 32, 14, 36, 31, 23, 30, 37, 34, 38, 31, 37, 34, 31]",32,9,5.819876952
0,25,27.87878788,1,"[25, 27, 21, 28, 29, 25, 30, 27, 31, 29, 32, 22, 18, 28, 29, 29, 23, 24, 31, 33, 23, 25, 26, 31, 36, 31, 29, 34, 27, 26, 34, 30, 27]",33,10,4.013707573
0,27,31.19230769,1,"[30, 27, 31, 35, 38, 32, 40, 25, 25, 36, 28, 25, 30, 37, 34, 30, 37, 15, 27, 40, 24, 30, 34, 33, 42, 26]",26,11,6.164538787
0,30,32.9375,1,"[32, 35, 37, 36, 35, 29, 31, 29, 39, 28, 30, 36, 25, 29, 33, 30, 30, 32, 29, 31, 30, 31, 33, 44, 35, 33, 33, 35, 33, 38, 31, 42]",32,12,4.095138739
0,30,32.375,1,"[37, 37, 37, 38, 39, 33, 32, 23, 34, 17, 29, 33, 34, 29, 38, 27, 31, 32, 30, 29, 40, 30, 32, 35, 28, 30, 23, 34, 38, 35, 40, 32]",32,13,5.253263195
0,30,32.21875,0,"[35, 34, 28, 39, 37, 31, 32, 36, 32, 29, 36, 31, 19, 35, 33, 39, 32, 30, 29, 34, 34, 37, 30, 28, 31, 35, 36, 20, 35, 24, 34, 36]",32,14,4.756892283
0,25,30.53333333,1,"[15, 34, 38, 43, 27, 38, 25, 37, 14, 34, 34, 21, 36, 29, 18, 29, 30, 30, 35, 35, 24, 25, 23, 33, 25, 40, 39, 36, 34, 35]",30,15,7.463628282
0,31,34.37931034,1,"[36, 38, 40, 41, 40, 31, 34, 33, 37, 30, 33, 39, 41, 31, 35, 33, 33, 35, 34, 30, 38, 34, 31, 37, 30, 39, 24, 34, 26]",29,16,4.287971491
0,28,30.16129032,0,"[30, 27, 15, 32, 32, 36, 18, 32, 24, 31, 32, 35, 23, 34, 28, 29, 37, 33, 36, 24, 37, 26, 29, 32, 30, 32, 37, 28, 32, 33, 31]",31,17,5.266857217
0,28,31.58823529,1,"[32, 32, 31, 27, 33, 29, 28, 25, 34, 35, 20, 39, 37, 33, 32, 36, 26, 35, 40, 37, 38, 36, 19, 28, 25, 25, 28, 35, 34, 37, 30, 31, 34, 33]",34,18,5.152920014
0,28,29.96774194,1,"[33, 26, 32, 26, 30, 21, 33, 28, 27, 26, 34, 32, 36, 31, 31, 38, 34, 32, 31, 23, 24, 30, 38, 32, 28, 28, 31, 24, 29, 29, 32]",31,19,4.127015637
0,28,30.51851852,1,"[23, 32, 28, 36, 30, 23, 31, 29, 37, 36, 21, 34, 32, 37, 27, 27, 40, 35, 33, 31, 13, 31, 33, 34, 18, 37, 36]",27,20,6.411350334
0,28,30.9375,1,"[29, 34, 24, 36, 28, 39, 39, 37, 37, 35, 36, 19, 38, 28, 35, 23, 30, 38, 38, 34, 36, 13, 23, 31, 36, 29, 41, 29, 20, 28, 28, 19]",32,21,7.084455952
0,22,26,1,"[26, 30, 22, 30, 36, 19, 23, 31, 29, 31, 36, 36, 23, 31, 28, 24, 20, 13, 30, 24, 10, 26, 34, 17, 29, 26, 29, 22, 32, 16, 29, 21, 26, 25]",34,22,6.367531276
0,24,26.02941176,1,"[15, 26, 31, 24, 33, 30, 26, 28, 25, 28, 25, 29, 23, 24, 22, 25, 22, 15, 32, 27, 14, 29, 27, 24, 31, 28, 28, 21, 24, 31, 31, 27, 26, 34]",34,23,4.839767676
0,26,29.36363636,1,"[35, 24, 26, 29, 33, 32, 23, 31, 37, 30, 29, 29, 34, 31, 28, 30, 32, 21, 28, 29, 22, 31, 25, 38, 38, 37, 28, 24, 34, 23, 35, 29, 14]",33,24,5.430344037
0,21,26.63636364,1,"[34, 30, 15, 27, 26, 33, 31, 15, 28, 30, 27, 26, 23, 21, 28, 23, 33, 34, 28, 33, 17, 27, 21, 18, 25, 25, 42, 34, 34, 18, 34, 19, 20]",33,25,6.585107164
0,23,26.66666667,1,"[27, 23, 24, 29, 35, 27, 34, 24, 21, 32, 21, 28, 26, 28, 42, 29, 29, 25, 23, 22, 38, 24, 20, 19, 20, 35, 15]",27,26,6.281841964
0,27,28.51612903,1,"[28, 28, 29, 29, 28, 25, 28, 31, 32, 25, 29, 31, 29, 29, 27, 29, 25, 32, 26, 27, 30, 31, 23, 37, 34, 20, 25, 31, 24, 31, 31]",31,27,3.424139481
0,27,29.09090909,1,"[30, 28, 26, 28, 33, 40, 34, 23, 31, 17, 31, 27, 25, 33, 27, 34, 27, 35, 35, 30, 23, 18, 32, 28, 32, 27, 19, 28, 31, 29, 33, 37, 29]",33,28,5.210348095
0,25,29.71875,1,"[34, 30, 19, 23, 23, 31, 39, 31, 26, 30, 31, 34, 25, 25, 31, 36, 31, 27, 31, 32, 36, 44, 25, 25, 31, 32, 33, 24, 38, 21, 25, 28]",32,29,5.554622457
0,28,31.4,1,"[27, 34, 30, 39, 34, 35, 29, 24, 18, 28, 25, 32, 38, 31, 28, 28, 33, 36, 34, 26, 36, 29, 20, 28, 31, 38, 38, 42, 41, 30]",30,30,5.834499063
0,28,30.72413793,1,"[33, 31, 37, 34, 35, 23, 27, 31, 36, 29, 33, 34, 33, 34, 30, 35, 29, 31, 29, 26, 32, 27, 26, 30, 26, 34, 28, 32, 26]",29,31,3.58465531
0,28,30.1,1,"[34, 25, 24, 30, 31, 37, 24, 34, 27, 32, 31, 37, 31, 28, 31, 31, 34, 33, 31, 30, 28, 28, 32, 25, 27, 29, 30, 25, 35, 29]",30,32,3.584930144
0,27,29.64705882,1,"[26, 31, 25, 29, 29, 20, 29, 28, 29, 30, 39, 39, 35, 30, 31, 34, 27, 27, 37, 38, 33, 33, 25, 18, 24, 23, 29, 30, 28, 30, 31, 29, 32, 30]",34,33,4.810861152
0,24,28.19354839,1,"[24, 36, 31, 34, 32, 19, 31, 23, 28, 31, 37, 33, 30, 29, 29, 14, 23, 29, 24, 37, 20, 24, 27, 27, 20, 27, 32, 31, 26, 34, 32]",31,34,5.546286174
0,20,24.37037037,1,"[15, 28, 25, 17, 20, 14, 33, 26, 29, 26, 15, 26, 20, 31, 18, 26, 33, 19, 23, 33, 25, 20, 23, 27, 35, 23, 28]",27,35,5.936511201
0,23,26.96875,1,"[28, 23, 20, 29, 32, 31, 31, 28, 23, 22, 30, 20, 32, 36, 41, 23, 41, 26, 31, 27, 29, 18, 25, 25, 25, 33, 26, 18, 17, 20, 26, 27]",32,36,6.018704045
